bot_message,reply_1,reply_2,reply_3,reply_4,reply_5,topic1,topic2,topic3
What color is this?,Gray.,It is green.,It is gray.,This is gray.,I see gray.,3,10,14
What animal do you see?,It is a rabbit.,"Look, a rabbit!",A fish.,I see a rabbit.,A rabbit.,5,25,14
Do you like carrot?,Yummy!,"Yes, I like carrot.",Yes!,I love carrot!,"No, I don't like carrot.",1,17,11
What do you want to play with?,"A teddy, please.",Let's play with the doll.,I like the doll.,I want the doll.,"The doll, please.",3,10,14
How many do you see?,One.,Four.,One toys.,There are one.,I see one.,2,27,15
Who is this?,This is Luca.,This is my mom.,My mom.,It is my mom.,My sister.,1,13,22
Where are you?,I am home.,I am at school.,I am at the home.,At the home.,In the farm.,2,15,21
What can you do?,I can play.,I can eat.,I can jump.,I can run.,Okay.,4,16,15
Please say thank you.,"Thank you, friend!",Thank you!,Thanks!,Thank you very much!,Thanks a lot!,2,15,17
"Can I have some juice, please?",Okay.,Yes.,Please.,"Yes, please.",Here you are.,7,11,22
Hello!,Hello!,Hi!,"Hi, friend!",Hi there!,"Hello, Benny!",1,14,21
How are you?,I am happy.,I am fine.,I am great!,I am good.,I am okay.,2,15,21
What is your name?,I am Ben.,I'm Noor.,I am Noor.,My name is Ben.,My name is Noor.,3,11,22
Nice to meet you!,Nice to meet you too!,You too!,Hi!,Thank you!,Nice to meet you!,1,12,23
Say goodbye!,Good night!,Goodbye!,See you!,Bye!,Bye-bye!,1,14,21
What color is this?,It is green.,Blue.,It is blue.,This is blue.,I see blue.,3,10,14
What animal do you see?,It is a mouse.,"Look, a mouse!",I see a mouse.,A mouse.,A fish.,5,25,14
Do you like carrot?,Yes!,Yummy!,"No, I don't like carrot.",I love carrot!,"Yes, I like carrot.",1,17,11
What do you want to play with?,Let's play with the doll.,"A teddy, please.",I want the doll.,I like the doll.,"The doll, please.",3,10,14
How many do you see?,Four.,There are one.,One toys.,One.,I see one.,2,27,15
Who is this?,This is my mom.,My sister.,It is my mom.,My mom.,This is Lila.,1,13,22
Where are you?,I am at school.,I am home.,In the farm.,At the home.,I am at the home.,2,15,21
What can you do?,I can play.,I can eat.,I can jump.,I can run.,Okay.,4,16,15
Please say thank you.,"Thank you, friend!",Thanks a lot!,Thank you!,Thank you very much!,Thanks!,2,15,17
"Can I have some juice, please?","Yes, please.",Okay.,Yes.,Please.,Here you are.,7,11,22
Hello!,"Hi, friend!",Hi there!,Hi!,Hello!,"Hello, Benny!",1,12,23
How are you?,I am good.,I am happy.,I am great!,I am fine.,I am okay.,1,14,21
What is your name?,I am Ken.,My name is Noor.,My name is Ken.,I am Noor.,I'm Ken.,2,15,21
Nice to meet you!,Nice to meet you!,You too!,Thank you!,Nice to meet you too!,Hi!,3,11,22
Say goodbye!,Good night!,Bye!,See you!,Bye-bye!,Goodbye!,1,12,23
What color is this?,It is green.,I see purple.,It is purple.,Purple.,This is purple.,3,10,14
What animal do you see?,A mouse.,A fish.,I see a mouse.,"Look, a mouse!",It is a mouse.,5,25,14
Do you like carrot?,"No, I don't like carrot.",Yummy!,"Yes, I like carrot.",Yes!,I love carrot!,1,17,11
What do you want to play with?,"A teddy, please.",Let's play with the doll.,I want the doll.,I like the doll.,"The doll, please.",3,10,14
How many do you see?,One.,Four.,There are one.,I see one.,One toys.,2,27,15
Who is this?,It is my mom.,This is my mom.,My sister.,This is Nico.,My mom.,1,13,22
Where are you?,I am at the home.,I am home.,In the farm.,I am at school.,At the home.,2,15,21
What can you do?,I can eat.,I can jump.,I can run.,I can play.,Okay.,4,16,15
Please say thank you.,Thank you very much!,Thank you!,Thanks!,"Thank you, friend!",Thanks a lot!,2,15,17
"Can I have some juice, please?","Yes, please.",Yes.,Okay.,Please.,Here you are.,7,11,22
Hello!,Hello!,"Hello, Benny!",Hi!,Hi there!,"Hi, friend!",3,11,22
How are you?,I am good.,I am happy.,I am fine.,I am okay.,I am great!,1,12,23
What is your name?,My name is Eli.,I am Eli.,I am Lara.,My name is Lara.,I'm Lara.,1,14,21
Nice to meet you!,You too!,Nice to meet you!,Thank you!,Hi!,Nice to meet you too!,2,15,21
Say goodbye!,Goodbye!,See you!,Bye!,Good night!,Bye-bye!,3,11,22
What color is this?,I see white.,It is green.,White.,It is white.,This is white.,3,10,14
What animal do you see?,A mouse.,I see a mouse.,"Look, a mouse!",It is a mouse.,A fish.,5,25,14
Do you like carrot?,Yummy!,I love carrot!,"No, I don't like carrot.",Yes!,"Yes, I like carrot.",1,17,11
What do you want to play with?,I like the doll.,Let's play with the doll.,I want the doll.,"The doll, please.","A teddy, please.",3,10,14
How many do you see?,One.,One toys.,There are one.,I see one.,Four.,2,27,15
Who is this?,This is my mom.,This is Ana.,My sister.,My mom.,It is my mom.,1,13,22
Where are you?,I am home.,I am at the home.,At the home.,In the farm.,I am at school.,2,15,21
What can you do?,I can run.,I can eat.,I can play.,I can jump.,Okay.,4,16,15
Please say thank you.,Thanks a lot!,"Thank you, friend!",Thank you very much!,Thank you!,Thanks!,2,15,17
"Can I have some juice, please?",Yes.,"Yes, please.",Here you are.,Please.,Okay.,7,11,22
Hello!,"Hello, Benny!",Hello!,Hi there!,Hi!,"Hi, friend!",2,15,21
How are you?,I am happy.,I am okay.,I am great!,I am fine.,I am good.,3,11,22
What is your name?,My name is Ana.,My name is Sam.,I'm Sam.,I am Sam.,I am Ana.,1,12,23
Nice to meet you!,Hi!,Nice to meet you too!,You too!,Thank you!,Nice to meet you!,1,14,21
Say goodbye!,See you!,Good night!,Bye-bye!,Goodbye!,Bye!,2,15,21
What color is this?,I see red.,This is red.,It is red.,Red.,It is green.,3,10,14
What animal do you see?,"Look, a chicken!",A fish.,It is a chicken.,A chicken.,I see a chicken.,5,25,14
Do you like carrot?,"No, I don't like carrot.","Yes, I like carrot.",I love carrot!,Yummy!,Yes!,1,17,11
What do you want to play with?,I want the doll.,"A teddy, please.",I like the doll.,"The doll, please.",Let's play with the doll.,3,10,14
How many do you see?,Four.,There are one.,I see one.,One.,One toys.,2,27,15
Who is this?,My mom.,This is Luca.,It is my mom.,This is my mom.,My sister.,1,13,22
Where are you?,In the farm.,I am at school.,I am at the home.,At the home.,I am home.,2,15,21
What can you do?,I can run.,I can jump.,I can play.,I can eat.,Okay.,4,16,15
Please say thank you.,Thank you very much!,"Thank you, friend!",Thanks!,Thanks a lot!,Thank you!,2,15,17
"Can I have some juice, please?",Yes.,Please.,Here you are.,Okay.,"Yes, please.",7,11,22
Hello!,Hi there!,Hi!,"Hi, friend!","Hello, Benny!",Hello!,1,14,21
How are you?,I am great!,I am fine.,I am happy.,I am good.,I am okay.,2,15,21
What is your name?,My name is Maya.,I am Noor.,I'm Noor.,My name is Noor.,I am Maya.,3,11,22
Nice to meet you!,You too!,Thank you!,Nice to meet you too!,Hi!,Nice to meet you!,1,12,23
Say goodbye!,Goodbye!,Good night!,See you!,Bye-bye!,Bye!,1,14,21
What color is this?,Orange.,I see orange.,This is orange.,It is orange.,It is green.,3,10,14
What animal do you see?,It is a chicken.,I see a chicken.,"Look, a chicken!",A chicken.,A fish.,5,25,14
Do you like carrot?,"No, I don't like carrot.",Yes!,"Yes, I like carrot.",I love carrot!,Yummy!,1,17,11
What do you want to play with?,Let's play with the doll.,"A teddy, please.",I like the doll.,"The doll, please.",I want the doll.,3,10,14
How many do you see?,I see one.,One.,One toys.,There are one.,Four.,2,27,15
Who is this?,My sister.,It is my mom.,This is Lila.,This is my mom.,My mom.,1,13,22
Where are you?,At the home.,In the farm.,I am home.,I am at school.,I am at the home.,2,15,21
What can you do?,I can play.,I can jump.,I can run.,I can eat.,Okay.,4,16,15
Please say thank you.,Thank you!,Thank you very much!,"Thank you, friend!",Thanks a lot!,Thanks!,2,15,17
"Can I have some juice, please?",Here you are.,Okay.,Please.,"Yes, please.",Yes.,7,11,22
Hello!,"Hello, Benny!",Hello!,Hi!,"Hi, friend!",Hi there!,1,12,23
How are you?,I am happy.,I am fine.,I am great!,I am good.,I am okay.,1,14,21
What is your name?,I'm Ken.,My name is Nico.,My name is Ken.,I am Nico.,I am Ken.,2,15,21
Nice to meet you!,Hi!,You too!,Thank you!,Nice to meet you!,Nice to meet you too!,3,11,22
Say goodbye!,Bye!,See you!,Bye-bye!,Good night!,Goodbye!,1,12,23
What color is this?,I see black.,It is black.,Black.,It is green.,This is black.,3,10,14
What animal do you see?,I see a chicken.,"Look, a chicken!",It is a chicken.,A fish.,A chicken.,5,25,14
Do you like carrot?,"Yes, I like carrot.",Yes!,Yummy!,I love carrot!,"No, I don't like carrot.",1,17,11
What do you want to play with?,"A teddy, please.",I like the doll.,"The doll, please.",I want the doll.,Let's play with the doll.,3,10,14
How many do you see?,I see one.,One.,There are one.,Four.,One toys.,2,27,15
Who is this?,This is Nico.,It is my mom.,This is my mom.,My mom.,My sister.,1,13,22
Where are you?,In the farm.,I am at the home.,I am home.,At the home.,I am at school.,2,15,21
What can you do?,I can run.,I can play.,I can jump.,I can eat.,Okay.,4,16,15
Please say thank you.,Thank you!,Thanks a lot!,Thank you very much!,Thanks!,"Thank you, friend!",2,15,17
"Can I have some juice, please?",Here you are.,Please.,Okay.,"Yes, please.",Yes.,7,11,22
Hello!,Hi there!,Hi!,"Hello, Benny!","Hi, friend!",Hello!,3,11,22
How are you?,I am great!,I am fine.,I am good.,I am okay.,I am happy.,1,12,23
What is your name?,My name is Leo.,My name is Lara.,I am Lara.,I am Leo.,I'm Lara.,1,14,21
Nice to meet you!,You too!,Thank you!,Hi!,Nice to meet you too!,Nice to meet you!,2,15,21
Say goodbye!,Good night!,Bye-bye!,Goodbye!,See you!,Bye!,3,11,22
What color is this?,Gold.,This is gold.,It is gold.,I see gold.,It is green.,3,10,14
What animal do you see?,"Look, a chicken!",A fish.,A chicken.,I see a chicken.,It is a chicken.,5,25,14
Do you like carrot?,I love carrot!,Yes!,"No, I don't like carrot.","Yes, I like carrot.",Yummy!,1,17,11
What do you want to play with?,Let's play with the doll.,"The doll, please.",I want the doll.,"A teddy, please.",I like the doll.,3,10,14
How many do you see?,One.,Four.,I see one.,One toys.,There are one.,2,27,15
Who is this?,My mom.,My sister.,This is my mom.,It is my mom.,This is Ana.,1,13,22
Where are you?,In the farm.,I am home.,At the home.,I am at the home.,I am at school.,2,15,21
What can you do?,I can jump.,I can play.,I can eat.,I can run.,Okay.,4,16,15
Please say thank you.,Thank you very much!,Thanks a lot!,Thanks!,"Thank you, friend!",Thank you!,2,15,17
"Can I have some juice, please?",Okay.,Please.,"Yes, please.",Here you are.,Yes.,7,11,22
Hello!,Hi!,"Hi, friend!",Hello!,Hi there!,"Hello, Benny!",2,15,21
How are you?,I am great!,I am okay.,I am fine.,I am good.,I am happy.,3,11,22
What is your name?,My name is Sam.,I'm Sam.,I am Sam.,My name is Theo.,I am Theo.,1,12,23
Nice to meet you!,Nice to meet you!,Hi!,You too!,Thank you!,Nice to meet you too!,1,14,21
Say goodbye!,Good night!,Goodbye!,Bye-bye!,Bye!,See you!,2,15,21
What color is this?,Green.,This is green.,It is green.,I see green.,Okay.,3,10,14
What animal do you see?,"Look, a bee!",I see a bee.,A fish.,A bee.,It is a bee.,5,25,14
Do you like carrot?,"No, I don't like carrot.",Yes!,Yummy!,I love carrot!,"Yes, I like carrot.",1,17,11
What do you want to play with?,I like the doll.,I want the doll.,"The doll, please.","A teddy, please.",Let's play with the doll.,3,10,14
How many do you see?,Four.,One toys.,I see one.,One.,There are one.,2,27,15
Who is this?,This is my mom.,My mom.,It is my mom.,This is Luca.,My sister.,1,13,22
Where are you?,I am at school.,At the home.,I am home.,I am at the home.,In the farm.,2,15,21
What can you do?,I can jump.,I can eat.,I can play.,I can run.,Okay.,4,16,15
Please say thank you.,Thanks!,Thank you!,Thank you very much!,"Thank you, friend!",Thanks a lot!,2,15,17
"Can I have some juice, please?",Okay.,Yes.,Please.,"Yes, please.",Here you are.,7,11,22
Hello!,Hello!,Hi there!,Hi!,"Hello, Benny!","Hi, friend!",1,14,21
How are you?,I am okay.,I am great!,I am fine.,I am good.,I am happy.,2,15,21
What is your name?,My name is Noor.,My name is Omar.,I'm Noor.,I am Omar.,I am Noor.,3,11,22
Nice to meet you!,Nice to meet you too!,Hi!,You too!,Thank you!,Nice to meet you!,1,12,23
Say goodbye!,Good night!,See you!,Goodbye!,Bye-bye!,Bye!,1,14,21
What color is this?,This is brown.,It is green.,It is brown.,Brown.,I see brown.,3,10,14
What animal do you see?,A fish.,"Look, a bee!",It is a bee.,A bee.,I see a bee.,5,25,14
Do you like carrot?,"Yes, I like carrot.",I love carrot!,Yes!,"No, I don't like carrot.",Yummy!,1,17,11
What do you want to play with?,"The doll, please.",I like the doll.,"A teddy, please.",Let's play with the doll.,I want the doll.,3,10,14
How many do you see?,I see one.,One.,There are one.,Four.,One toys.,2,27,15
Who is this?,My sister.,It is my mom.,This is my mom.,This is Lila.,My mom.,1,13,22
Where are you?,I am home.,In the farm.,I am at the home.,I am at school.,At the home.,2,15,21
What can you do?,I can eat.,I can run.,I can jump.,I can play.,Okay.,4,16,15
Please say thank you.,"Thank you, friend!",Thank you very much!,Thank you!,Thanks!,Thanks a lot!,2,15,17
"Can I have some juice, please?",Please.,"Yes, please.",Yes.,Okay.,Here you are.,7,11,22
Hello!,Hi there!,"Hi, friend!",Hello!,"Hello, Benny!",Hi!,1,12,23
How are you?,I am okay.,I am good.,I am fine.,I am great!,I am happy.,1,14,21
What is your name?,My name is Ken.,I am Ken.,I am Zoe.,My name is Zoe.,I'm Ken.,2,15,21
Nice to meet you!,Nice to meet you!,Thank you!,Nice to meet you too!,Hi!,You too!,3,11,22
Say goodbye!,Bye!,Goodbye!,See you!,Bye-bye!,Good night!,1,12,23
What color is this?,Gray.,It is gray.,I see gray.,It is green.,This is gray.,3,10,14
What animal do you see?,A bee.,I see a bee.,"Look, a bee!",A fish.,It is a bee.,5,25,14
Do you like carrot?,Yummy!,Yes!,I love carrot!,"No, I don't like carrot.","Yes, I like carrot.",1,17,11
What do you want to play with?,"The doll, please.",Let's play with the doll.,I want the doll.,"A teddy, please.",I like the doll.,3,10,14
How many do you see?,One.,One toys.,I see one.,There are one.,Four.,2,27,15
Who is this?,It is my mom.,This is my mom.,My sister.,My mom.,This is Nico.,1,13,22
Where are you?,I am at school.,I am home.,At the home.,I am at the home.,In the farm.,2,15,21
What can you do?,I can jump.,I can run.,I can eat.,I can play.,Okay.,4,16,15
Please say thank you.,Thank you very much!,Thanks!,Thanks a lot!,"Thank you, friend!",Thank you!,2,15,17
"Can I have some juice, please?",Here you are.,Yes.,Please.,"Yes, please.",Okay.,7,11,22
Hello!,Hi!,"Hello, Benny!",Hi there!,"Hi, friend!",Hello!,3,11,22
How are you?,I am great!,I am happy.,I am okay.,I am fine.,I am good.,1,12,23
What is your name?,I'm Lara.,My name is Ken.,My name is Lara.,I am Lara.,I am Ken.,1,14,21
Nice to meet you!,Nice to meet you too!,You too!,Thank you!,Nice to meet you!,Hi!,2,15,21
Say goodbye!,Good night!,Bye-bye!,Goodbye!,Bye!,See you!,3,11,22
What color is this?,It is green.,I see yellow.,It is yellow.,Yellow.,This is yellow.,3,10,14
What animal do you see?,I see a butterfly.,It is a butterfly.,A fish.,"Look, a butterfly!",A butterfly.,5,25,14
Do you like carrot?,"Yes, I like carrot.",Yes!,Yummy!,"No, I don't like carrot.",I love carrot!,1,17,11
What do you want to play with?,"The doll, please.","A teddy, please.",Let's play with the doll.,I want the doll.,I like the doll.,3,10,14
How many do you see?,One.,There are one.,One toys.,Four.,I see one.,2,27,15
Who is this?,This is my mom.,My mom.,It is my mom.,This is Ana.,My sister.,1,13,22
Where are you?,In the farm.,I am home.,At the home.,I am at the home.,I am at school.,2,15,21
What can you do?,I can eat.,I can play.,I can run.,I can jump.,Okay.,4,16,15
Please say thank you.,Thanks a lot!,"Thank you, friend!",Thanks!,Thank you!,Thank you very much!,2,15,17
"Can I have some juice, please?",Yes.,Here you are.,Okay.,Please.,"Yes, please.",7,11,22
Hello!,"Hi, friend!",Hello!,Hi there!,"Hello, Benny!",Hi!,2,15,21
How are you?,I am fine.,I am happy.,I am good.,I am great!,I am okay.,3,11,22
What is your name?,I am Sam.,I am Yuki.,I'm Sam.,My name is Yuki.,My name is Sam.,1,12,23
Nice to meet you!,Hi!,Nice to meet you too!,Nice to meet you!,You too!,Thank you!,1,14,21
Say goodbye!,Bye!,Goodbye!,Good night!,See you!,Bye-bye!,2,15,21
What color is this?,It is purple.,This is purple.,Purple.,It is green.,I see purple.,3,10,14
What animal do you see?,It is a butterfly.,"Look, a butterfly!",I see a butterfly.,A fish.,A butterfly.,5,25,14
Do you like carrot?,Yes!,Yummy!,"Yes, I like carrot.","No, I don't like carrot.",I love carrot!,1,17,11
What do you want to play with?,Let's play with the doll.,I like the doll.,I want the doll.,"A teddy, please.","The doll, please.",3,10,14
How many do you see?,Four.,One toys.,I see one.,One.,There are one.,2,27,15
Who is this?,It is my mom.,My mom.,This is my mom.,My sister.,This is Luca.,1,13,22
Where are you?,I am at the home.,At the home.,In the farm.,I am at school.,I am home.,2,15,21
What can you do?,I can jump.,I can run.,I can play.,I can eat.,Okay.,4,16,15
Please say thank you.,Thank you!,"Thank you, friend!",Thanks!,Thanks a lot!,Thank you very much!,2,15,17
"Can I have some juice, please?",Yes.,Okay.,Here you are.,"Yes, please.",Please.,7,11,22
Hello!,"Hello, Benny!",Hello!,"Hi, friend!",Hi!,Hi there!,1,14,21
How are you?,I am fine.,I am happy.,I am okay.,I am good.,I am great!,2,15,21
What is your name?,I'm Noor.,My name is Noor.,I am Noor.,Okay.,Okay.,3,11,22
Nice to meet you!,Nice to meet you too!,Nice to meet you!,You too!,Hi!,Thank you!,1,12,23
Say goodbye!,Goodbye!,Bye-bye!,See you!,Bye!,Good night!,1,14,21
What color is this?,This is white.,White.,It is green.,I see white.,It is white.,3,10,14
What animal do you see?,A fish.,It is a butterfly.,"Look, a butterfly!",I see a butterfly.,A butterfly.,5,25,14
Do you like carrot?,"Yes, I like carrot.","No, I don't like carrot.",Yummy!,Yes!,I love carrot!,1,17,11
What do you want to play with?,I want the doll.,"The doll, please.",I like the doll.,Let's play with the doll.,"A teddy, please.",3,10,14
How many do you see?,One.,There are one.,Four.,I see one.,One toys.,2,27,15
Who is this?,This is my mom.,My sister.,My mom.,It is my mom.,This is Lila.,1,13,22
Where are you?,In the farm.,I am home.,I am at the home.,At the home.,I am at school.,2,15,21
What can you do?,I can jump.,I can run.,I can play.,I can eat.,Okay.,4,16,15
Please say thank you.,"Thank you, friend!",Thank you!,Thanks!,Thank you very much!,Thanks a lot!,2,15,17
"Can I have some juice, please?",Please.,Yes.,Okay.,"Yes, please.",Here you are.,7,11,22
Hello!,Hi!,"Hi, friend!",Hi there!,"Hello, Benny!",Hello!,1,12,23
How are you?,I am great!,I am happy.,I am okay.,I am good.,I am fine.,1,14,21
What is your name?,My name is Ken.,I am Eli.,I'm Ken.,My name is Eli.,I am Ken.,2,15,21
Nice to meet you!,Nice to meet you!,Thank you!,Hi!,Nice to meet you too!,You too!,3,11,22
Say goodbye!,See you!,Goodbye!,Good night!,Bye!,Bye-bye!,1,12,23
What color is this?,This is blue.,It is blue.,I see blue.,Blue.,It is green.,3,10,14
What animal do you see?,It is a turtle.,"Look, a turtle!",A turtle.,I see a turtle.,A fish.,5,25,14
Do you like carrot?,I love carrot!,"No, I don't like carrot.",Yes!,Yummy!,"Yes, I like carrot.",1,17,11
What do you want to play with?,Let's play with the doll.,I want the doll.,"The doll, please.",I like the doll.,"A teddy, please.",3,10,14
How many do you see?,There are one.,One toys.,One.,Four.,I see one.,2,27,15
Who is this?,This is Nico.,It is my mom.,My mom.,This is my mom.,My sister.,1,13,22
Where are you?,I am at the home.,In the farm.,I am at school.,I am home.,At the home.,2,15,21
What can you do?,I can run.,I can jump.,I can play.,I can eat.,Okay.,4,16,15
Please say thank you.,Thank you!,"Thank you, friend!",Thanks!,Thank you very much!,Thanks a lot!,2,15,17
"Can I have some juice, please?",Yes.,Here you are.,Okay.,Please.,"Yes, please.",7,11,22
Hello!,Hello!,Hi there!,"Hello, Benny!","Hi, friend!",Hi!,3,11,22
How are you?,I am great!,I am fine.,I am happy.,I am good.,I am okay.,1,12,23
What is your name?,My name is Lara.,My name is Ana.,I'm Lara.,I am Lara.,I am Ana.,1,14,21
Nice to meet you!,Hi!,Thank you!,Nice to meet you too!,You too!,Nice to meet you!,2,15,21
Say goodbye!,Bye-bye!,Bye!,See you!,Good night!,Goodbye!,3,11,22
What color is this?,Orange.,It is orange.,This is orange.,It is green.,I see orange.,3,10,14
What animal do you see?,It is a turtle.,A fish.,A turtle.,I see a turtle.,"Look, a turtle!",5,25,14
Do you like carrot?,Yummy!,Yes!,"No, I don't like carrot.","Yes, I like carrot.",I love carrot!,1,17,11
What do you want to play with?,Let's play with the doll.,"The doll, please.",I like the doll.,"A teddy, please.",I want the doll.,3,10,14
How many do you see?,One.,Four.,One toys.,There are one.,I see one.,2,27,15
Who is this?,It is my mom.,This is Ana.,My mom.,My sister.,This is my mom.,1,13,22
Where are you?,I am at the home.,I am home.,At the home.,I am at school.,In the farm.,2,15,21
What can you do?,I can run.,I can jump.,I can eat.,I can play.,Okay.,4,16,15
Please say thank you.,Thank you!,Thanks!,"Thank you, friend!",Thanks a lot!,Thank you very much!,2,15,17
"Can I have some juice, please?",Please.,Here you are.,Yes.,"Yes, please.",Okay.,7,11,22
Hello!,Hi there!,"Hi, friend!",Hello!,Hi!,"Hello, Benny!",2,15,21
How are you?,I am great!,I am happy.,I am good.,I am fine.,I am okay.,3,11,22
What is your name?,I am Rui.,My name is Rui.,I am Sam.,I'm Sam.,My name is Sam.,1,12,23
Nice to meet you!,Nice to meet you too!,Nice to meet you!,Thank you!,You too!,Hi!,1,14,21
Say goodbye!,Bye-bye!,Goodbye!,Bye!,Good night!,See you!,2,15,21
What color is this?,It is green.,Black.,I see black.,This is black.,It is black.,3,10,14
What animal do you see?,"Look, a turtle!",I see a turtle.,A fish.,It is a turtle.,A turtle.,5,25,14
Do you like carrot?,I love carrot!,"Yes, I like carrot.",Yummy!,Yes!,"No, I don't like carrot.",1,17,11
What do you want to play with?,I like the doll.,"A teddy, please.","The doll, please.",I want the doll.,Let's play with the doll.,3,10,14
How many do you see?,There are one.,One toys.,I see one.,One.,Four.,2,27,15
Who is this?,My sister.,This is Luca.,My mom.,It is my mom.,This is my mom.,1,13,22
Where are you?,At the home.,I am home.,In the farm.,I am at the home.,I am at school.,2,15,21
What can you do?,I can run.,I can eat.,I can jump.,I can play.,Okay.,4,16,15
Please say thank you.,Thank you!,"Thank you, friend!",Thanks a lot!,Thank you very much!,Thanks!,2,15,17
"Can I have some juice, please?",Here you are.,Yes.,Okay.,Please.,"Yes, please.",7,11,22
Hello!,Hi!,"Hi, friend!",Hi there!,"Hello, Benny!",Hello!,1,14,21
How are you?,I am great!,I am good.,I am happy.,I am fine.,I am okay.,2,15,21
What is your name?,My name is Noor.,I am Nico.,I'm Noor.,My name is Nico.,I am Noor.,3,11,22
Nice to meet you!,Nice to meet you too!,Thank you!,You too!,Nice to meet you!,Hi!,1,12,23
Say goodbye!,See you!,Bye-bye!,Goodbye!,Bye!,Good night!,1,14,21
What color is this?,Red.,It is red.,It is green.,This is red.,I see red.,3,10,14
What animal do you see?,It is a snake.,"Look, a snake!",A fish.,I see a snake.,A snake.,5,25,14
Do you like carrot?,"Yes, I like carrot.","No, I don't like carrot.",Yes!,Yummy!,I love carrot!,1,17,11
What do you want to play with?,Let's play with the doll.,I want the doll.,"A teddy, please.",I like the doll.,"The doll, please.",3,10,14
How many do you see?,I see one.,Four.,One toys.,One.,There are one.,2,27,15
Who is this?,My sister.,This is Lila.,It is my mom.,My mom.,This is my mom.,1,13,22
Where are you?,In the farm.,At the home.,I am at school.,I am home.,I am at the home.,2,15,21
What can you do?,I can play.,I can run.,I can jump.,I can eat.,Okay.,4,16,15
Please say thank you.,Thank you!,Thanks a lot!,"Thank you, friend!",Thanks!,Thank you very much!,2,15,17
"Can I have some juice, please?",Please.,Yes.,"Yes, please.",Okay.,Here you are.,7,11,22
Hello!,Hi there!,"Hi, friend!",Hello!,Hi!,"Hello, Benny!",1,12,23
How are you?,I am great!,I am okay.,I am fine.,I am happy.,I am good.,1,14,21
What is your name?,I am Ken.,My name is Leo.,I'm Ken.,I am Leo.,My name is Ken.,2,15,21
Nice to meet you!,You too!,Hi!,Nice to meet you too!,Nice to meet you!,Thank you!,3,11,22
Say goodbye!,See you!,Good night!,Goodbye!,Bye-bye!,Bye!,1,12,23
What color is this?,This is green.,It is green.,Green.,I see green.,Okay.,3,10,14
What animal do you see?,A snake.,It is a snake.,A fish.,"Look, a snake!",I see a snake.,5,25,14
Do you like carrot?,"Yes, I like carrot.",I love carrot!,Yes!,"No, I don't like carrot.",Yummy!,1,17,11
What do you want to play with?,"The doll, please.","A teddy, please.",I want the doll.,I like the doll.,Let's play with the doll.,3,10,14
How many do you see?,I see one.,One toys.,One.,There are one.,Four.,2,27,15
Who is this?,This is my mom.,It is my mom.,My mom.,This is Nico.,My sister.,1,13,22
Where are you?,In the farm.,I am at school.,I am at the home.,At the home.,I am home.,2,15,21
What can you do?,I can play.,I can eat.,I can run.,I can jump.,Okay.,4,16,15
Please say thank you.,Thank you very much!,Thanks!,Thanks a lot!,"Thank you, friend!",Thank you!,2,15,17
"Can I have some juice, please?",Please.,Yes.,Here you are.,"Yes, please.",Okay.,7,11,22
Hello!,Hi!,"Hi, friend!","Hello, Benny!",Hi there!,Hello!,3,11,22
How are you?,I am fine.,I am okay.,I am good.,I am happy.,I am great!,1,12,23
What is your name?,I'm Lara.,My name is Theo.,My name is Lara.,I am Theo.,I am Lara.,1,14,21
Nice to meet you!,Nice to meet you!,Nice to meet you too!,Thank you!,You too!,Hi!,2,15,21
Say goodbye!,See you!,Good night!,Bye!,Goodbye!,Bye-bye!,3,11,22
What color is this?,Brown.,It is brown.,I see brown.,This is brown.,It is green.,3,10,14
What animal do you see?,A fish.,"Look, a snake!",It is a snake.,I see a snake.,A snake.,5,25,14
Do you like carrot?,"No, I don't like carrot.",Yes!,Yummy!,"Yes, I like carrot.",I love carrot!,1,17,11
What do you want to play with?,I want the doll.,"A teddy, please.",I like the doll.,Let's play with the doll.,"The doll, please.",3,10,14
How many do you see?,I see one.,One.,One toys.,Four.,There are one.,2,27,15
Who is this?,My sister.,This is Ana.,My mom.,This is my mom.,It is my mom.,1,13,22
Where are you?,I am at the home.,I am home.,In the farm.,I am at school.,At the home.,2,15,21
What can you do?,I can run.,I can eat.,I can play.,I can jump.,Okay.,4,16,15
Please say thank you.,Thanks a lot!,Thank you very much!,Thanks!,Thank you!,"Thank you, friend!",2,15,17
"Can I have some juice, please?",Okay.,Yes.,Please.,"Yes, please.",Here you are.,7,11,22
Hello!,Hello!,Hi there!,Hi!,"Hi, friend!","Hello, Benny!",2,15,21
How are you?,I am okay.,I am great!,I am fine.,I am good.,I am happy.,3,11,22
What is your name?,My name is Sam.,My name is Lara.,I am Lara.,I am Sam.,I'm Sam.,1,12,23
Nice to meet you!,Thank you!,Nice to meet you too!,You too!,Hi!,Nice to meet you!,1,14,21
Say goodbye!,Good night!,See you!,Bye!,Goodbye!,Bye-bye!,2,15,21
What color is this?,This is gold.,Gold.,It is gold.,It is green.,I see gold.,3,10,14
What animal do you see?,A snake.,"Look, a snake!",I see a snake.,A fish.,It is a snake.,5,25,14
Do you like carrot?,Yummy!,I love carrot!,"Yes, I like carrot.",Yes!,"No, I don't like carrot.",1,17,11
What do you want to play with?,Let's play with the doll.,"A teddy, please.",I want the doll.,"The doll, please.",I like the doll.,3,10,14
How many do you see?,Four.,There are one.,One.,I see one.,One toys.,2,27,15
